experiment,scenario,n_wt,min_dist,n_wd,cost,time_s
min_dist,min_dist=0.4,9,0.4,,-239.69453785024982,15.378662109375
min_dist,min_dist=1.0,9,1.0,,-239.69453785024982,14.57930874824524
n_wd,n_wd=8,9,,8.0,-239.69453785024982,14.606610298156738
n_wd,n_wd=16,9,,16.0,-239.69453785024982,14.500693798065186
n_wt,n_wt=9,9,,,-239.69453785024982,14.554342269897461
n_wt,n_wt=16,16,,,-406.08063707155793,27.35898494720459
